Pre COVID,W/L,FIGHTER,KD,STR,TD,SUB,WEIGHT CLASS,METHOD,ROUND,TIME
,WIN,Jon Jones,0,104,2,0,Light Heavyweight,U-DEC,5,5:00
,,Dominick Reyes,0,116,0,0,,,,
,WIN,Valentina Shevchenko,0,40,3,0,Women's Flyweight,KO/TKO,3,1:03
,,Katlyn Chookagian,0,17,0,0,,Punches,,
,WIN,Justin Tafa,1,10,0,0,Heavyweight,KO/TKO,1,1:59
,,Juan Adams,0,7,0,0,,Punch,,
,WIN,Dan Ige,0,43,1,0,Featherweight,S-DEC,3,5:00
,,Mirsad Bektic,0,17,3,1,,,,
,WIN,Derrick Lewis,0,20,0,0,Heavyweight,U-DEC,3,5:00
,,Ilir Latifi,0,5,3,0,,,,
,WIN,Trevin Giles,0,71,0,1,Middleweight,S-DEC,3,5:00
,,James Krause,0,44,1,4,,,,
,WIN,Lauren Murphy,0,80,2,0,Women's Flyweight,S-DEC,3,5:00
,,Andrea Lee,0,104,0,1,,,,
,WIN,Khaos Williams,1,10,0,0,Welterweight,KO/TKO,1,0:27
,,Alex Morono,0,1,0,0,,Punch,,
,WIN,Mario Bautista,1,18,0,0,Bantamweight,KO/TKO,2,1:41
,,Miles Johns,0,13,0,0,,Flying Knee,,
,NC,Domingo Pilarte,0,1,0,0,Bantamweight,Overturned,1,0:38
,NC,Journey Newson,1,6,0,0,,Punch,,
,WIN,Andre Ewell,0,80,0,0,Bantamweight,S-DEC,3,5:00
,,Jonathan Martinez,0,66,0,0,,,,
,WIN,Youssef Zalal,0,31,6,2,Featherweight,U-DEC,3,5:00
,,Austin Lingo,0,12,1,0,,,,
,WIN,Jan Blachowicz,1,13,0,0,Light Heavyweight,KO/TKO,1,3:08
,,Corey Anderson,0,11,0,0,,Punch,,
,WIN,Diego Sanchez,0,25,0,0,Welterweight,DQ,3,3:09
,,Michel Pereira,1,53,2,0,,,,
,WIN,Montana De La Rosa,1,27,1,1,Women's Flyweight,U-DEC,3,5:00
,,Mara Romero Borella,0,23,1,0,,,,
,WIN,Brok Weaver,0,5,0,1,Lightweight,DQ,1,4:02
,,Kazula Vargas,0,15,1,0,,,,
,WIN,Ray Borg,0,35,10,0,Flyweight,U-DEC,3,5:00
,,Rogerio Bontorin,0,9,0,0,,,,
,WIN,Lando Vannata,0,99,0,0,Lightweight,U-DEC,3,5:00
,,Yancy Medeiros,0,68,0,0,,,,
,WIN,Daniel Rodriguez,1,49,0,1,Welterweight,SUB,2,3:37
,,Tim Means,0,41,1,0,,Guillotine Choke,,
,WIN,John Dodson,1,39,0,0,Bantamweight,KO/TKO,3,0:16
,,Nathaniel Wood,0,46,1,0,,Punch,,
,WIN,Scott Holtzman,0,88,1,0,Lightweight,U-DEC,3,5:00
,,Jim Miller,0,58,0,0,,,,
,WIN,Devin Clark,0,39,3,0,Light Heavyweight,U-DEC,3,5:00
,,Dequan Townsend,0,6,0,0,,,,
,WIN,Merab Dvalishvili,0,63,12,0,Bantamweight,U-DEC,3,5:00
,,Casey Kenney,0,45,0,0,,,,
,WIN,Macy Chiasson,0,86,3,0,Women's Bantamweight,U-DEC,3,5:00
,,Shanna Young,0,40,0,0,,,,
,WIN,Raulian Paiva,1,54,0,0,Flyweight,KO/TKO,2,4:42
,,Mark De La Rosa,0,45,0,0,,Punch,,
