,W/L,FIGHTER,KD,STR,TD,SUB,WEIGHT CLASS,METHOD,ROUND,TIME,,SUM  Pre COVID,,SUM During COVID,
Pre_COVID,WIN,Jairzinho Rozenstruik,1,89,0,0,Heavyweight,KO/TKO,5,4:56,,U-DEC,86,U-DEC,89
Pre_COVID,,Alistair Overeem,0,74,2,0,,Punch,,,,S-DEC,24,S-DEC,16
Pre_COVID,DRAW,Marina Rodriguez,0,56,0,0,Women's Strawweight,M-DEC,3,5:00,,M-DEC,3,M-DEC,2
Pre_COVID,DRAW,Cynthia Calvillo,0,78,3,0,,,,,,TKO,69,TKO,67
Pre_COVID,WIN,Ben Rothwell,1,58,0,0,Heavyweight,KO/TKO,2,4:57,,SUB,35,SUB,46
Pre_COVID,,Stefan Struve,0,53,0,0,,Punches,,,,DQ,2,DQ,0
Pre_COVID,WIN,Aspen Ladd,1,47,2,0,Women's Bantamweight,KO/TKO,3,0:33,,DEC,113,DEC,107
Pre_COVID,,Yana Kunitskaya,0,47,0,0,,Punches,,,,Finishes,104,Finishes,113
Pre_COVID,DRAW,Cody Stamann,0,41,5,0,Bantamweight,M-DEC,3,5:00,,Total Strikes,19442,Total Strikes,19075
Pre_COVID,DRAW,Song Yadong,0,30,0,0,,,,,,Total Takedowns,439,Total Takedowns,425
Pre_COVID,WIN,Rob Font,0,90,1,0,Bantamweight,U-DEC,3,5:00,,Total Submissions,131,Total Submissions,142
Pre_COVID,,Ricky Simon,0,59,6,0,,,,,,,,,
Pre_COVID,WIN,Tim Means,1,23,0,1,Welterweight,SUB,1,2:38,,,,,
Pre_COVID,,Thiago Alves,0,13,0,0,,Guillotine Choke,,,,,,,
Pre_COVID,WIN,Billy Quarantillo,0,74,1,5,Featherweight,SUB,2,3:18,,,,,
Pre_COVID,,Jacob Kilburn,0,3,0,0,,Triangle Choke,,,,,,,
Pre_COVID,WIN,Bryce Mitchell,0,6,1,1,Featherweight,SUB,1,4:20,,,,,
Pre_COVID,,Matt Sayles,0,2,0,0,,Other - Lock,,,,,,,
Pre_COVID,WIN,Joe Solecki,0,56,4,0,Lightweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Matt Wiman,0,10,0,0,,,,,,,,,
Pre_COVID,WIN,Virna Jandiroba,0,7,3,3,Women's Strawweight,SUB,2,1:16,,,,,
Pre_COVID,,Mallory Martin,0,9,0,0,,Rear Naked Choke,,,,,,,
Pre_COVID,WIN,Makhmud Muradov,1,91,1,1,Middleweight,KO/TKO,3,4:09,,,,,
Pre_COVID,,Trevor Smith,0,39,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Kamaru Usman,2,175,0,0,Welterweight,KO/TKO,5,4:10,,,,,
Pre_COVID,,Colby Covington,0,143,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Alexander Volkanovski,0,157,0,0,Featherweight,U-DEC,5,5:00,,,,,
Pre_COVID,,Max Holloway,0,134,0,0,,,,,,,,,
Pre_COVID,WIN,Amanda Nunes,0,79,8,2,Women's Bantamweight,U-DEC,5,5:00,,,,,
Pre_COVID,,Germaine de Randamie,0,40,0,1,,,,,,,,,
Pre_COVID,WIN,Marlon Moraes,0,59,1,0,Bantamweight,S-DEC,3,5:00,,,,,
Pre_COVID,,Jose Aldo,0,58,0,0,,,,,,,,,
Pre_COVID,WIN,Petr Yan,3,54,2,0,Bantamweight,KO/TKO,3,0:43,,,,,
Pre_COVID,,Urijah Faber,0,18,0,0,,Kick,,,,,,,
Pre_COVID,WIN,Geoff Neal,1,15,0,0,Welterweight,KO/TKO,1,1:30,,,,,
Pre_COVID,,Mike Perry,0,5,0,0,,Punches,,,,,,,
Pre_COVID,WIN,Irene Aldana,1,26,0,0,Women's Bantamweight,KO/TKO,1,4:51,,,,,
Pre_COVID,,Ketlen Vieira,0,20,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Omari Akhmedov,0,55,2,0,Middleweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Ian Heinisch,0,53,3,0,,,,,,,,,
Pre_COVID,WIN,Matt Brown,0,30,2,0,Welterweight,KO/TKO,2,4:55,,,,,
Pre_COVID,,Ben Saunders,0,12,0,4,,Punches,,,,,,,
Pre_COVID,WIN,Chase Hooper,0,20,1,2,Featherweight,KO/TKO,1,4:34,,,,,
Pre_COVID,,Daniel Teymur,0,2,0,1,,Elbows,,,,,,,
Pre_COVID,WIN,Brandon Moreno,0,91,0,0,Flyweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Kai Kara-France,0,82,0,0,,,,,,,,,
Pre_COVID,WIN,Jessica Eye,0,98,0,0,Women's Flyweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Viviane Araujo,0,56,2,0,,,,,,,,,
Pre_COVID,WIN,Punahele Soriano,2,26,1,0,Middleweight,KO/TKO,1,3:17,,,,,
Pre_COVID,,Oskar Piechota,0,8,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Chan Sung Jung,1,46,0,0,Featherweight,KO/TKO,1,3:18,,,,,
Pre_COVID,,Frankie Edgar,0,9,0,0,,Punches,,,,,,,
Pre_COVID,WIN,Volkan Oezdemir,0,63,0,0,Light Heavyweight,S-DEC,3,5:00,,,,,
Pre_COVID,,Aleksandar Rakic,0,75,1,1,,,,,,,,,
Pre_COVID,WIN,Charles Jourdain,2,64,0,0,Featherweight,KO/TKO,2,4:32,,,,,
Pre_COVID,,Dooho Choi,1,42,0,0,,Punches,,,,,,,
Pre_COVID,WIN,Da-Un Jung,1,5,0,0,Light Heavyweight,KO/TKO,1,1:04,,,,,
Pre_COVID,,Mike Rodriguez,0,4,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Junyong Park,0,77,5,0,Middleweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Marc-Andre Barriault,0,51,0,0,,,,,,,,,
Pre_COVID,WIN,Kyung Ho Kang,0,20,3,0,Bantamweight,S-DEC,3,5:00,,,,,
Pre_COVID,,Pingyuan Liu,0,25,0,0,,,,,,,,,
Pre_COVID,WIN,Ciryl Gane,0,65,0,0,Heavyweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Tanner Boser,0,32,0,0,,,,,,,,,
Pre_COVID,WIN,SeungWoo Choi,1,95,0,0,Featherweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Suman Mokhtarian,0,33,0,0,,,,,,,,,
Pre_COVID,WIN,Omar Morales,1,32,1,0,Lightweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Dong Hyun Ma,0,15,0,0,,,,,,,,,
Pre_COVID,WIN,Alexandre Pantoja,1,34,1,0,Flyweight,KO/TKO,1,4:17,,,,,
Pre_COVID,,Matt Schnell,0,20,0,0,,Punch,,,,,,,
Pre_COVID,WIN,Raoni Barcelos,0,42,2,0,Bantamweight,U-DEC,3,5:00,,,,,
Pre_COVID,,Said Nurmagomedov,0,55,0,0,,,,,,,,,
Pre_COVID,WIN,Amanda Lemos,0,8,1,1,Women's Strawweight,SUB,1,3:43,,,,,
Pre_COVID,,Miranda Granger,0,4,0,0,,Rear Naked Choke,,,,,,,
Pre_COVID,WIN,Heili Alateng,0,47,4,0,Bantamweight,S-DEC,3,5:00,,,,,
Pre_COVID,,Ryan Benoit,0,68,0,0,,,,,,,,,
Pre_COVID,WIN,Curtis Blaydes,0,28,0,0,Heavyweight,KO/TKO,2,1:06,,,,,
