,Date,Red Fighter Name,Blue Fighter Name,American Odd that Red Fighter Will Win,American Odd that Blue Fighter Will Win,Location,Country,Winner of the Fight,Title Bout?,Weight Class,Number of Rounds in Fight,Blue Significant Strikes Landed/min,Blue Significant Striking Accuracy,Blue Average Submissions Attempted/15min,Blue Average Takedowns Landed/15min,Blue Takedown Accuracy,Red Significant Strikes Landed/min,Red Significant Striking Accuracy,Red Average Submissions Attempted/15min,Red Average Takedowns Landed/15min,Red Takedown Accuracy
0,2020-02-08,Jon Jones,Dominick Reyes,-460,365,"Houston, Texas, USA", USA,Red,True,Light Heavyweight,5,5.03,0.52,0.4,0.39,0.16,4.31,0.57,0.5,1.9,0.46
1,2020-02-08,Valentina Shevchenko,Katlyn Chookagian,-920,610,"Houston, Texas, USA", USA,Red,True,Women's Flyweight,5,4.35,0.32,0.1,0.0,0.0,3.02,0.49,0.4,1.94,0.51
2,2020-02-08,Juan Adams,Justin Tafa,-240,200,"Houston, Texas, USA", USA,Blue,False,Heavyweight,3,2.77,0.66,0.0,0.0,0.0,7.32,0.55,0.0,0.97,0.66
3,2020-02-08,Mirsad Bektic,Dan Ige,-125,105,"Houston, Texas, USA", USA,Blue,False,Featherweight,3,4.15,0.49,1.0,2.73,0.34,2.88,0.42,0.4,3.38,0.53
4,2020-02-08,Derrick Lewis,Ilir Latifi,-225,185,"Houston, Texas, USA", USA,Red,False,Heavyweight,3,2.29,0.4,0.5,1.85,0.3,2.63,0.49,0.0,0.52,0.25
5,2020-02-08,Trevin Giles,James Krause,-170,130,"Houston, Texas, USA", USA,Red,False,Middleweight,3,4.65,0.48,0.6,1.06,0.18,3.25,0.61,0.0,1.95,1.0
6,2020-02-08,Alex Morono,Kalinn Williams,-345,285,"Houston, Texas, USA", USA,Blue,False,Welterweight,3,0.0,0.0,0.0,0.0,0.0,4.42,0.39,0.6,0.0,0.0
7,2020-02-08,Lauren Murphy,Andrea Lee,260,-320,"Houston, Texas, USA", USA,Red,False,Women's Flyweight,3,5.02,0.53,0.5,1.75,0.46,3.53,0.39,0.0,0.89,0.28
8,2020-02-08,Miles Johns,Mario Bautista,-132,112,"Houston, Texas, USA", USA,Blue,False,Bantamweight,3,7.45,0.49,0.0,0.81,0.33,3.47,0.53,0.0,2.0,0.66
9,2020-02-08,Domingo Pilarte,Journey Newson,-125,105,"Houston, Texas, USA", USA,Blue,False,Bantamweight,3,2.53,0.3,1.0,0.0,0.0,2.06,0.51,1.4,2.06,0.42
10,2020-02-08,Andre Ewell,Jonathan Martinez,-133,113,"Houston, Texas, USA", USA,Red,False,Bantamweight,3,3.42,0.48,0.0,0.68,0.5,3.32,0.39,0.0,0.26,0.5
11,2020-02-08,Austin Lingo,Youssef Zalel,-210,175,"Houston, Texas, USA", USA,Blue,False,Featherweight,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-02-15,Corey Anderson,Jan Blachowicz,-235,195,"Rio Rancho, New Mexico, USA", USA,Blue,False,Light Heavyweight,5,3.44,0.49,0.3,1.18,0.52,4.45,0.46,0.0,4.98,0.5
13,2020-02-15,Diego Sanchez,Michel Pereira,135,-155,"Rio Rancho, New Mexico, USA", USA,Red,False,Welterweight,3,2.26,0.44,0.0,1.79,0.4,2.75,0.38,0.9,1.62,0.25
14,2020-02-15,Montana De La Rosa,Mara Romero Borella,-175,155,"Rio Rancho, New Mexico, USA", USA,Red,False,Women's Flyweight,3,2.98,0.35,0.3,1.68,0.41,2.49,0.31,2.3,2.69,0.33
15,2020-02-15,Brok Weaver,Kazula Vargas,-270,230,"Rio Rancho, New Mexico, USA", USA,Red,False,Lightweight,3,1.33,0.47,0.0,0.0,0.0,6.73,0.74,0.0,0.0,0.0
16,2020-02-15,Rogerio Bontorin,Ray Borg,130,-150,"Rio Rancho, New Mexico, USA", USA,Blue,False,Flyweight,3,1.26,0.49,1.2,3.66,0.5,3.23,0.52,1.6,2.72,0.41
17,2020-02-15,Lando Vannata,Yancy Medeiros,-120,100,"Rio Rancho, New Mexico, USA", USA,Red,False,Lightweight,3,3.99,0.35,0.6,0.14,0.33,4.41,0.42,0.5,1.35,0.42
18,2020-02-15,Tim Means,Daniel Rodriguez,-345,285,"Rio Rancho, New Mexico, USA", USA,Blue,False,Welterweight,3,7.2,0.48,0.0,4.0,0.8,4.87,0.45,0.2,0.87,0.45
19,2020-02-15,John Dodson,Nathaniel Wood,130,-150,"Rio Rancho, New Mexico, USA", USA,Red,False,Bantamweight,3,4.24,0.42,2.0,2.05,0.66,3.28,0.4,0.0,0.8,0.28
20,2020-02-15,Jim Miller,Scott Holtzman,115,-135,"Rio Rancho, New Mexico, USA", USA,Blue,False,Lightweight,3,4.36,0.5,0.2,2.37,0.58,2.78,0.4,2.0,1.77,0.42
21,2020-02-15,Devin Clark,Dequan Townsend,-400,325,"Rio Rancho, New Mexico, USA", USA,Red,False,Light Heavyweight,3,1.6,0.43,0.0,0.0,0.0,3.21,0.54,0.2,3.03,0.39
22,2020-02-15,Casey Kenney,Merab Dvalishvili,150,-170,"Rio Rancho, New Mexico, USA", USA,Blue,False,Bantamweight,3,3.75,0.37,0.0,6.75,0.43,3.48,0.41,0.8,1.75,0.5
23,2020-02-15,Macy Chiasson,Shanna Young,-800,550,"Rio Rancho, New Mexico, USA", USA,Red,False,Women's Bantamweight,3,3.79,0.6,0.0,0.0,0.0,3.76,0.55,1.0,0.0,0.0
24,2020-02-15,Mark De La Rosa,Raulian Paiva,205,-245,"Rio Rancho, New Mexico, USA", USA,Blue,False,Flyweight,3,4.59,0.43,0.5,0.46,0.2,3.05,0.36,0.3,0.77,0.17
25,2020-02-22,Paul Felder,Dan Hooker,130,-150,"Auckland, New Zealand", New Zealand,Blue,False,Lightweight,5,4.73,0.44,0.4,0.4,0.33,3.55,0.43,0.3,0.29,0.27
26,2020-02-22,Jim Crute,Michal Oleksiejczuk,100,-120,"Auckland, New Zealand", New Zealand,Red,False,Light Heavyweight,3,5.39,0.56,0.0,1.2,0.66,4.56,0.57,2.3,0.58,1.0
27,2020-02-22,Karolina Kowalkiewicz,Yan Xiaonan,225,-265,"Auckland, New Zealand", New Zealand,Blue,False,Women's Strawweight,3,6.85,0.4,0.0,0.25,0.25,5.57,0.39,0.0,0.11,0.14
28,2020-02-22,Ben Sosoli,Marcos Rogerio De Lima,130,-150,"Auckland, New Zealand", New Zealand,Blue,False,Heavyweight,3,3.55,0.54,0.8,0.78,0.6,2.22,0.31,0.0,0.0,0.0
29,2020-02-22,Brad Riddell,Magomed Mustafaev,120,-140,"Auckland, New Zealand", New Zealand,Red,False,Lightweight,3,3.11,0.57,0.7,0.0,0.0,6.07,0.59,0.0,1.0,1.0
30,2020-02-22,Kevin Aguilar,Zubaira Tukhugov,-115,-105,"Auckland, New Zealand", New Zealand,Blue,False,Featherweight,3,2.28,0.35,0.0,3.03,0.56,3.78,0.36,0.0,0.25,0.5
31,2020-02-22,Jalin Turner,Joshua Culibao,-210,175,"Auckland, New Zealand", New Zealand,Red,False,Lightweight,3,0.0,0.0,0.0,0.0,0.0,5.66,0.45,0.6,0.61,1.0
32,2020-02-22,Jake Matthews,Emil Meek,-200,170,"Auckland, New Zealand", New Zealand,Red,False,Welterweight,3,2.24,0.38,1.3,0.33,0.5,3.07,0.46,0.8,1.99,0.38
33,2020-02-22,Callan Potter,Song Kenan,170,-200,"Auckland, New Zealand", New Zealand,Blue,False,Welterweight,3,4.13,0.45,0.0,0.0,0.0,3.21,0.51,0.0,2.83,0.6
34,2020-02-22,Kai Kara France,Tyson Nam,-260,220,"Auckland, New Zealand", New Zealand,Red,False,Flyweight,3,2.67,0.23,0.0,0.0,0.0,5.28,0.41,0.0,0.75,0.37
