,Event ID,Name,Short Name,Day,Date Time,Status
0,103,UFC 246: McGregor vs. Cowboy,UFC 246,2020-01-18T00:00:00,2020-01-18T19:00:00,Final
1,104,UFC Fight Night: Blaydes vs. Dos Santos,UFC Fight Night,2020-01-25T00:00:00,2020-01-25T17:00:00,Final
2,105,UFC 247: Jones vs. Reyes,UFC 247,2020-02-08T00:00:00,2020-02-08T18:30:00,Final
3,106,UFC Fight Night: Anderson vs. Blachowicz 2,UFC Fight Night,2020-02-15T00:00:00,2020-02-15T17:00:00,Final
4,107,UFC Fight Night: Felder vs. Hooker,UFC Fight Night,2020-02-22T00:00:00,2020-02-22T16:00:00,Final
5,108,UFC Fight Night: Benavidez vs. Figueiredo,UFC Fight Night,2020-02-29T00:00:00,2020-02-29T17:00:00,Final
6,109,UFC 248: Adesanya vs. Romero,UFC 248,2020-03-07T00:00:00,2020-03-07T19:00:00,Final
7,110,UFC Fight Night: Lee vs. Oliveira,UFC Fight Night,2020-03-14T00:00:00,2020-03-14T15:00:00,Final
8,124,UFC Fight Night: Woodley vs. Edwards,UFC Fight Night,2020-03-21T00:00:00,2020-03-21T18:00:00,Canceled
9,125,UFC Fight Night: Ngannou vs. Rozenstruik,UFC Fight Night,2020-03-28T00:00:00,2020-03-28T18:00:00,Canceled
10,118,UFC 249: Ferguson vs. Gaethje,UFC 249,2020-05-09T00:00:00,2020-05-09T18:00:00,Final
11,127,UFC Fight Night: Smith vs. Teixeira,UFC Fight Night,2020-05-13T00:00:00,2020-05-13T18:00:00,Final
12,120,UFC Fight Night: Overeem vs. Harris,UFC Fight Night,2020-05-16T00:00:00,2020-05-16T18:00:00,Final
13,128,UFC Fight Night: Woodley vs. Burns,UFC Fight Night,2020-05-30T00:00:00,2020-05-30T18:00:00,Final
14,119,UFC 250: Nunes vs. Spencer,UFC 250,2020-06-06T00:00:00,2020-06-06T18:00:00,Final
15,129,UFC Fight Night: Eye vs. Calvillo,UFC Fight Night,2020-06-13T00:00:00,2020-06-13T19:00:00,Final
16,130,UFC Fight Night: Blaydes vs. Volkov,UFC Fight Night,2020-06-20T00:00:00,2020-06-20T17:00:00,Final
17,131,UFC Fight Night: Poirier vs. Hooker,UFC Fight Night,2020-06-27T00:00:00,2020-06-27T18:00:00,Final
18,121,UFC 251: Usman vs. Masvidal,UFC 251,2020-07-11T00:00:00,2020-07-11T18:00:00,Final
19,132,UFC Fight Night: Kattar vs. Ige,UFC Fight Night,2020-07-15T00:00:00,2020-07-15T19:00:00,Final
20,133,UFC Fight Night: Figueiredo vs. Benavidez 2,UFC Fight Night,2020-07-18T00:00:00,2020-07-18T17:00:00,Final
21,134,UFC Fight Night: Whittaker vs. Till,UFC Fight Night,2020-07-25T00:00:00,2020-07-25T17:00:00,Final
22,136,UFC Fight Night: Brunson vs. Shahbazyan,UFC Fight Night,2020-08-01T00:00:00,2020-08-01T19:00:00,Final
23,137,"Dana White's Contender Series: Season 4, Week 1",Dana White's Contender Series,2020-08-04T00:00:00,2020-08-04T20:00:00,Final
24,141,UFC Fight Night: Lewis vs. Oleinik,UFC Fight Night,2020-08-08T00:00:00,2020-08-08T18:00:00,Final
25,138,"Dana White's Contender Series: Season 4, Week 2",Dana White's Contender Series,2020-08-11T00:00:00,2020-08-11T20:00:00,Final
26,135,UFC 252: Miocic vs. Cormier 3,UFC 252,2020-08-15T00:00:00,2020-08-15T19:00:00,Final
27,139,"Dana White's Contender Series: Season 4, Week 3",Dana White's Contender Series,2020-08-18T00:00:00,2020-08-18T20:00:00,Final
28,142,UFC Fight Night: Munhoz vs. Edgar,UFC Fight Night,2020-08-22T00:00:00,2020-08-22T18:30:00,Final
29,140,"Dana White's Contender Series: Season 4, Week 4",Dana White's Contender Series,2020-08-25T00:00:00,2020-08-25T20:00:00,Final
30,143,UFC Fight Night: Smith vs. Rakic,UFC Fight Night,2020-08-29T00:00:00,2020-08-29T18:00:00,Final
31,149,"Dana White's Contender Series: Season 4, Week 5",Dana White's Contender Series,2020-09-01T00:00:00,2020-09-01T20:00:00,Final
32,150,UFC Fight Night: Overeem vs. Sakai,UFC Fight Night,2020-09-05T00:00:00,2020-09-05T19:00:00,Final
33,152,"Dana White's Contender Series: Season 4, Week 6",Dana White's Contender Series,2020-09-08T00:00:00,2020-09-08T20:00:00,Final
34,151,UFC Fight Night: Waterson vs. Hill,UFC Fight Night,2020-09-12T00:00:00,2020-09-12T17:00:00,Final
35,153,"Dana White's Contender Series: Season 4, Week 7",Dana White's Contender Series,2020-09-15T00:00:00,2020-09-15T20:00:00,Final
36,146,UFC Fight Night: Covington vs. Woodley,UFC Fight Night,2020-09-19T00:00:00,2020-09-19T17:00:00,Final
37,144,UFC 253: Adesanya vs. Costa,UFC 253,2020-09-26T00:00:00,2020-09-26T19:00:00,Final
38,147,UFC Fight Night: Holm vs. Aldana,UFC Fight Night,2020-10-03T00:00:00,2020-10-03T19:30:00,Final
39,155,UFC Fight Night: Moraes vs. Sandhagen,UFC Fight Night,2020-10-10T00:00:00,2020-10-10T17:00:00,Final
40,154,UFC Fight Night: Ortega vs. The Korean Zombie,UFC Fight Night,2020-10-17T00:00:00,2020-10-17T16:00:00,Final
41,145,UFC 254: Khabib vs. Gaethje,UFC 254,2020-10-24T00:00:00,2020-10-24T11:00:00,Final
42,159,UFC Fight Night: Hall vs. Silva,UFC Fight Night,2020-10-31T00:00:00,2020-10-31T16:00:00,Final
43,156,"Dana White's Contender Series: Season 4, Week 8",Dana White's Contender Series,2020-11-04T00:00:00,2020-11-04T20:00:00,Final
44,162,UFC Fight Night: Santos vs. Teixeira,UFC Fight Night,2020-11-07T00:00:00,2020-11-07T19:30:00,Final
45,157,"Dana White's Contender Series: Season 4, Week 9",Dana White's Contender Series,2020-11-10T00:00:00,2020-11-10T20:00:00,Final
46,148,UFC Fight Night: Felder vs. Dos Anjos,UFC Fight Night,2020-11-14T00:00:00,2020-11-14T17:00:00,Final
47,158,"Dana White's Contender Series: Season 4, Week 10",Dana White's Contender Series,2020-11-17T00:00:00,2020-11-17T20:00:00,Final
48,161,UFC 255: Figueiredo vs. Perez,UFC 255,2020-11-21T00:00:00,2020-11-21T18:30:00,Scheduled
49,160,UFC Fight Night: Blaydes vs. Lewis,UFC Fight Night,2020-11-28T00:00:00,2020-11-28T19:00:00,Scheduled
50,164,UFC Fight Night: Hermansson vs. Holland,UFC Fight Night,2020-12-05T00:00:00,2020-12-05T19:00:00,Scheduled
51,163,UFC 256,UFC 256,2020-12-12T00:00:00,2020-12-12T18:15:00,Scheduled
