,Event ID,Fight Number,Fight ID,Weight Class,Card Segment,Referee,Rounds,Result Type,Winner ID
0,103,1,1151,Welterweight,Main Card,Herb Dean,5,Scrambled,140000867.0
1,103,2,1150,Women's Bantamweight,Main Card,Jason Herzog,3,Scrambled,140000447.0
2,103,3,1149,Heavyweight,Main Card,Keith Peterson,3,Scrambled,140000288.0
3,103,4,1140,Bantamweight,Main Card,Mark Smith,3,Scrambled,140000702.0
4,103,5,1147,Lightweight,Main Card,Herb Dean,3,Scrambled,140000102.0
5,103,6,1146,Women's Flyweight,Prelims,Jason Herzog,3,Scrambled,140000281.0
6,103,7,1145,Featherweight,Prelims,Chris Tognoni,3,Scrambled,140000237.0
7,103,8,1141,Flyweight,Prelims,Keith Peterson,3,Scrambled,140000614.0
8,103,9,1144,Lightweight,Prelims,Mark Smith,3,Scrambled,140000164.0
9,103,10,1142,Light Heavyweight,Early Prelims,Herb Dean,3,Scrambled,140000513.0
10,103,11,1139,Women's Flyweight,Early Prelims,Chris Tognoni,3,Scrambled,140000225.0
11,104,1,1163,Heavyweight,Main Card,Dan Miragliotta,5,Scrambled,140000218.0
12,104,2,1162,Welterweight,Main Card,Kevin MacDonald,3,Scrambled,140000444.0
13,104,3,1160,Flyweight,Main Card,Dan Miragliotta,3,Scrambled,140000222.0
14,104,4,1159,Women's Strawweight,Main Card,Kevin MacDonald,3,Scrambled,140000203.0
15,104,5,1158,Light Heavyweight,Main Card,Dan Miragliotta,3,Scrambled,140000491.0
16,104,6,1156,Middleweight,Prelims,Kevin MacDonald,3,Scrambled,140000393.0
17,104,7,1262,Featherweight,Prelims,Wayne Spinola,3,Scrambled,140000185.0
18,104,8,1157,Women's Flyweight,Prelims,Kevin MacDonald,3,Scrambled,140000671.0
19,104,9,1155,Bantamweight,Prelims,Dan Miragliotta,3,Scrambled,140000253.0
20,104,10,1154,Women's Bantamweight,Prelims,Larry Carter,3,Scrambled,140000701.0
21,104,11,1153,Bantamweight,Prelims,Wayne Spinola,3,Scrambled,140000735.0
22,104,12,1152,Featherweight,Prelims,Larry Carter,3,Scrambled,140000526.0
23,105,1,1171,Light Heavyweight,Main Card,Dan Miragliotta,5,Scrambled,140000146.0
24,105,2,1170,Women's Flyweight,Main Card,Jacob Montalvo,5,Scrambled,140000402.0
25,105,3,1167,Heavyweight,Main Card,Jeff Rexroad,3,Scrambled,140000627.0
26,105,4,1166,Featherweight,Main Card,Kerry Hatley,3,Scrambled,140000178.0
27,105,5,1169,Heavyweight,Main Card,Dan Miragliotta,3,Scrambled,140000173.0
28,105,6,1164,Middleweight,Prelims,Jacob Montalvo,3,Scrambled,140000353.0
29,105,7,1168,Women's Flyweight,Prelims,Jeff Rexroad,3,Scrambled,140000517.0
30,105,8,1253,Welterweight,Prelims,Kerry Hatley,3,Scrambled,140000894.0
31,105,9,1252,Bantamweight,Prelims,Dan Miragliotta,3,Scrambled,140000008.0
32,105,10,1251,Bantamweight,Early Prelims,Jacob Montalvo,3,Scrambled,
33,105,11,1263,Bantamweight,Early Prelims,Kerry Hatley,3,Scrambled,140000419.0
34,105,12,1298,Featherweight,Early Prelims,Jeff Rexroad,3,Scrambled,140000895.0
35,106,1,1180,Light Heavyweight,Main Card,Herb Dean,5,Scrambled,140000123.0
36,106,2,1179,Welterweight,Main Card,Jason Herzog,3,Scrambled,140000131.0
37,106,3,1174,Women's Flyweight,Main Card,Joe Coca,3,Scrambled,140000067.0
38,106,4,1245,Lightweight,Main Card,Robert Romero,3,Scrambled,140000547.0
39,106,5,1173,Flyweight,Main Card,Herb Dean,3,Scrambled,140000226.0
40,106,6,1177,Lightweight,Main Card,Jason Herzog,3,Scrambled,140000071.0
41,106,7,1260,Welterweight,Prelims,Herb Dean,3,Scrambled,140000508.0
42,106,8,1178,Bantamweight,Prelims,Joe Coca,3,Scrambled,140000115.0
43,106,9,1255,Lightweight,Prelims,Robert Romero,3,Scrambled,140000080.0
44,106,10,1175,Light Heavyweight,Prelims,Jason Herzog,3,Scrambled,140000371.0
45,106,11,1254,Bantamweight,Prelims,Joe Coca,3,Scrambled,140000325.0
46,106,12,1176,Women's Bantamweight,Prelims,Herb Dean,3,Scrambled,140000128.0
47,106,13,1315,Flyweight,Prelims,Robert Romero,3,Scrambled,140000060.0
48,107,1,1192,Lightweight,Main Card,Marc Goddard,5,Scrambled,140000487.0
49,107,2,1187,Light Heavyweight,Main Card,John Sharp,3,Scrambled,140000066.0
50,107,3,1186,Women's Strawweight,Main Card,Mark Craig,3,Scrambled,140000394.0
51,107,4,1189,Heavyweight,Main Card,Neil Swailes,3,Scrambled,140000122.0
52,107,5,1188,Lightweight,Main Card,John Sharp,3,Scrambled,140000625.0
53,107,6,1182,Featherweight,Prelims,Marc Goddard,3,Scrambled,140000598.0
54,107,7,1181,Lightweight,Prelims,Mark Craig,3,Scrambled,140000056.0
55,107,8,1191,Welterweight,Prelims,John Sharp,3,Scrambled,140000628.0
56,107,9,1185,Welterweight,Prelims,Neil Swailes,3,Scrambled,140000590.0
57,107,10,1183,Flyweight,Prelims,Marc Goddard,3,Scrambled,140000059.0
58,107,11,1250,Women's Strawweight,Prelims,John Sharp,3,Scrambled,140000203.0
59,107,12,1184,Women's Flyweight,Prelims,Neil Swailes,3,Scrambled,140000177.0
60,108,1,1200,Flyweight,Main Card,Dan Miragliotta,5,Scrambled,140000215.0
61,108,2,1196,Women's Featherweight,Main Card,Dan Miragliotta,3,Scrambled,140000365.0
62,108,3,1318,Light Heavyweight,Main Card,Kevin MacDonald,3,Scrambled,140000113.0
63,108,4,1199,Women's Featherweight,Main Card,Kevin MacDonald,3,Scrambled,140000364.0
64,108,5,1268,Featherweight,Main Card,Kevin MacDonald,3,Scrambled,140000156.0
65,108,6,1195,Bantamweight,Prelims,Dan Miragliotta,3,Scrambled,140000890.0
66,108,7,1197,Middleweight,Prelims,Bill Bookwalter,3,Scrambled,140000472.0
67,108,8,1236,Heavyweight,Prelims,Bill Bookwalter,3,Scrambled,140000272.0
68,108,9,1247,Lightweight,Prelims,Mike King,3,Scrambled,140000213.0
69,108,10,1194,Featherweight,Prelims,Mike King,3,Scrambled,140000603.0
70,108,11,1193,Featherweight,Prelims,Scott Howard,3,Scrambled,140000900.0
71,108,12,1240,Welterweight,Prelims,Scott Howard,3,Scrambled,140000882.0
72,109,1,1261,Middleweight,Main Card,Dan Miragliotta,5,Scrambled,140000074.0
73,109,2,1205,Women's Strawweight,Main Card,Keith Peterson,5,Scrambled,140000141.0
74,109,3,1270,Lightweight,Main Card,Jason Herzog,3,Scrambled,140000165.0
75,109,4,1243,Welterweight,Main Card,Keith Peterson,3,Scrambled,140000752.0
76,109,5,1256,Welterweight,Main Card,Mark Smith,3,Scrambled,140000306.0
77,109,6,1313,Bantamweight,Prelims,Dan Miragliotta,3,Scrambled,140000711.0
78,109,7,1290,Lightweight,Prelims,Chris Tognoni,3,Scrambled,140000621.0
79,109,8,1244,Middleweight,Prelims,Jason Herzog,3,Scrambled,140000537.0
80,109,9,1289,Middleweight,Prelims,Keith Peterson,3,Scrambled,140000228.0
81,109,10,1285,Featherweight,Early Prelims,Mark Smith,3,Scrambled,140000617.0
82,109,11,1238,Bantamweight,Early Prelims,Chris Tognoni,3,Scrambled,140000583.0
83,110,1,1214,Lightweight,Main Card,Mike Beltran,5,Scrambled,140000045.0
84,110,2,1264,Welterweight,Main Card,Osiris Maia,3,Scrambled,140000294.0
85,110,3,1267,Lightweight,Main Card,Eduardo Herdy,3,Scrambled,140000050.0
86,110,4,1212,Light Heavyweight,Main Card,Mike Beltran,3,Scrambled,140000261.0
87,110,5,1246,Lightweight,Main Card,Osiris Maia,3,Scrambled,140000486.0
88,110,6,1210,Flyweight,Prelims,Eduardo Herdy,3,Scrambled,140000613.0
89,110,7,1209,Women's Strawweight,Prelims,Camila Albuquerque,3,Scrambled,140000432.0
90,110,8,1213,Welterweight,Prelims,Osiris Maia,3,Scrambled,140000170.0
91,110,9,1208,Bantamweight,Prelims,Julio Catarino,3,Scrambled,
92,110,10,1265,Women's Flyweight,Prelims,Camila Albuquerque,3,Scrambled,140000224.0
93,110,11,1266,Flyweight,Prelims,Julio Catarino,3,Scrambled,140000901.0
94,110,12,1207,Women's Bantamweight,Prelims,Mike Beltran,3,Scrambled,140000374.0
95,118,1,1413,Lightweight,Main Card,Herb Dean,5,Scrambled,140000247.0
96,118,2,1412,Bantamweight,Main Card,Keith Peterson,5,Scrambled,140000026.0
97,118,3,1411,Heavyweight,Main Card,Dan Miragliotta,3,Scrambled,140000098.0
98,118,4,1410,Featherweight,Main Card,Jason Herzog,3,Scrambled,140000396.0
99,118,5,1409,Heavyweight,Main Card,Herb Dean,3,Scrambled,140000023.0
100,118,6,1408,Welterweight,Prelims,Keith Peterson,3,Scrambled,140000220.0
101,118,7,1407,Heavyweight,Prelims,Herb Dean,3,Scrambled,140000288.0
102,118,8,1406,Women's Strawweight,Prelims,Dan Miragliotta,3,Scrambled,140000296.0
103,118,9,1404,Welterweight,Prelims,Jason Herzog,3,Scrambled,140000089.0
104,118,10,1403,Featherweight,Early Prelims,Keith Peterson,3,Scrambled,140000209.0
105,118,11,1402,Light Heavyweight,Early Prelims,Dan Miragliotta,3,Scrambled,140000343.0
106,127,1,1416,Light Heavyweight,Main Card,Jason Herzog,5,Scrambled,140000015.0
107,127,2,1415,Heavyweight,Main Card,Dan Miragliotta,3,Scrambled,140000166.0
108,127,3,1431,Lightweight,Main Card,Herb Dean,3,Scrambled,140000164.0
109,127,4,1429,Bantamweight,Main Card,Keith Peterson,3,Scrambled,140000070.0
110,127,5,1428,Heavyweight,Main Card,Herb Dean,3,Scrambled,140000298.0
111,127,6,1427,Lightweight,Main Card,Keith Peterson,3,Scrambled,140000341.0
112,127,7,1426,Women's Bantamweight,Prelims,Michael Cardoso,3,Scrambled,140000360.0
113,127,8,1434,Lightweight,Prelims,Dan Miragliotta,3,Scrambled,140000530.0
114,127,9,1425,Featherweight,Prelims,Jason Herzog,3,Scrambled,140000702.0
115,127,10,1433,Heavyweight,Prelims,Michael Cardoso,3,Scrambled,140000736.0
116,120,1,1343,Heavyweight,Main Card,Dan Miragliotta,5,Scrambled,140000287.0
117,120,2,1414,Women's Strawweight,Main Card,Keith Peterson,3,Scrambled,140000441.0
118,120,3,1424,Featherweight,Main Card,Jason Herzog,3,Scrambled,140000178.0
119,120,4,1423,Middleweight,Main Card,Herb Dean,3,Scrambled,140000279.0
120,120,5,1422,Featherweight,Main Card,Dan Miragliotta,3,Scrambled,140000440.0
121,120,6,1435,Welterweight,Prelims,Jason Herzog,3,Scrambled,140000423.0
122,120,7,1421,Middleweight,Prelims,Michael Cardoso,3,Scrambled,140000229.0
123,120,8,1420,Featherweight,Prelims,Keith Peterson,3,Scrambled,140000617.0
124,120,9,1418,Featherweight,Prelims,Herb Dean,3,Scrambled,140000889.0
125,120,10,1419,Women's Flyweight,Prelims,Michael Cardoso,3,Scrambled,140000093.0
126,120,11,1417,Heavyweight,Prelims,Dan Miragliotta,3,Scrambled,140000506.0
127,128,1,1444,Welterweight,Main Card,Herb Dean,5,Scrambled,140000294.0
128,128,2,1449,Heavyweight,Main Card,Jason McCoy,3,Scrambled,140000299.0
129,128,3,1445,Catch Weight,Main Card,Mark Smith,3,Scrambled,140000488.0
130,128,4,1447,Lightweight,Main Card,Herb Dean,3,Scrambled,140000303.0
131,128,5,1446,Women's Strawweight,Main Card,Jason Herzog,3,Scrambled,140000633.0
132,128,6,1443,Women's Flyweight,Prelims,Chris Tognoni,3,Scrambled,140000389.0
133,128,7,1448,Welterweight,Prelims,Mark Smith,3,Scrambled,140000508.0
134,128,8,1453,Light Heavyweight,Prelims,Herb Dean,3,Scrambled,140000491.0
135,128,9,1452,Flyweight,Prelims,Mark Smith,3,Scrambled,140000910.0
136,128,10,1451,Bantamweight,Prelims,Chris Tognoni,3,Scrambled,140000227.0
137,128,11,1450,Featherweight,Prelims,Jason Herzog,3,Scrambled,140000200.0
138,119,1,1344,Women's Featherweight,Main Card,Herb Dean,5,Scrambled,140000446.0
139,119,2,1441,Bantamweight,Main Card,Keith Peterson,3,Scrambled,140000139.0
140,119,3,1458,Bantamweight,Main Card,Chris Tognoni,3,Scrambled,140000086.0
141,119,4,1457,Welterweight,Main Card,Mark Smith,3,Scrambled,140000752.0
142,119,5,1456,Bantamweight,Main Card,Herb Dean,3,Scrambled,140000711.0
143,119,6,1455,Featherweight,Prelims,Keith Peterson,3,Scrambled,140000091.0
144,119,7,1438,Middleweight,Prelims,Chris Tognoni,3,Scrambled,140000367.0
145,119,8,1454,Featherweight,Prelims,Mark Smith,3,Scrambled,140000134.0
146,119,9,1437,Middleweight,Prelims,Herb Dean,3,Scrambled,140000450.0
147,119,10,1440,Flyweight,Early Prelims,Keith Peterson,3,Scrambled,140000222.0
148,119,11,1439,Light Heavyweight,Early Prelims,Mark Smith,3,Scrambled,140000371.0
149,119,12,1459,Catch Weight,Early Prelims,Chris Tognoni,3,Scrambled,140000526.0
150,129,1,1461,Women's Flyweight,Main Card,Herb Dean,5,Scrambled,140000094.0
151,129,2,1471,Middleweight,Main Card,Dan Miragliotta,3,Scrambled,140000467.0
152,129,3,1467,Lightweight,Main Card,Mark Smith,3,Scrambled,140000881.0
153,129,4,1469,Featherweight,Main Card,Chris Tognoni,3,Scrambled,140000088.0
154,129,5,1468,Bantamweight,Main Card,Herb Dean,3,Scrambled,140000199.0
155,129,6,1460,Women's Flyweight,Main Card,Dan Miragliotta,3,Scrambled,140000510.0
156,129,7,1470,Catch Weight,Prelims,Mark Smith,3,Scrambled,140000325.0
157,129,8,1466,Women's Bantamweight,Prelims,Chris Tognoni,3,Scrambled,140000439.0
158,129,9,1465,Bantamweight,Prelims,Herb Dean,3,Scrambled,140000608.0
159,129,10,1472,Welterweight,Prelims,Dan Miragliotta,3,Scrambled,140000914.0
160,130,1,1463,Heavyweight,Main Card,,5,Scrambled,140000218.0
161,130,2,1494,Featherweight,Main Card,Jason Herzog,3,Scrambled,140000243.0
162,130,3,1491,Women's Bantamweight,Main Card,Mark Smith,3,Scrambled,140000485.0
163,130,4,1493,Welterweight,Main Card,Chris Tognoni,3,Scrambled,140000004.0
164,130,5,1492,Catch Weight,Main Card,Herb Dean,3,Scrambled,140000292.0
165,130,6,1488,Lightweight,Prelims,Jason Herzog,3,Scrambled,140000649.0
166,130,7,1490,Women's Strawweight,Prelims,Mark Smith,3,Scrambled,140000140.0
167,130,8,1501,Middleweight,Prelims,Chris Tognoni,3,Scrambled,140000322.0
168,130,9,1462,Women's Flyweight,Prelims,Jason Herzog,3,Scrambled,140000108.0
169,130,10,1489,Lightweight,Prelims,Herb Dean,3,Scrambled,140000921.0
170,130,11,1500,Women's Flyweight,Prelims,Chris Tognoni,3,Scrambled,140000517.0
171,130,12,1499,Lightweight,Prelims,Mark Smith,3,Scrambled,140000362.0
172,131,1,1478,Lightweight,Main Card,Herb Dean,5,Scrambled,140000266.0
173,131,2,1498,Welterweight,Main Card,Keith Peterson,3,Scrambled,140000307.0
174,131,3,1496,Heavyweight,Main Card,Mark Smith,3,Scrambled,140000154.0
175,131,4,1497,Middleweight,Main Card,Chris Tognoni,3,Scrambled,140000472.0
176,131,5,1544,Welterweight,Main Card,Chris Tognoni,3,Scrambled,140000301.0
177,131,6,1502,Catch Weight,Main Card,Keith Peterson,3,Scrambled,140000157.0
